Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-08-23,CORE_BUY,633.5515747070312,100.0,0.1578403463778656,900.0,1000.0,Macro SMA Cross
2023-08-24,INTRADAY_BUY,629.5626360941023,5.0,0.16578236789143685,895.0,999.3703845476552,Volatility Dip
2023-08-25,INTRADAY_BUY,626.9841933859486,5.0,0.1737570505911683,890.0,998.9429242100251,Volatility Dip
2023-08-28,INTRADAY_BUY,631.909173488242,5.0,0.18166958012828388,885.0,999.7986742268198,Volatility Dip
2023-09-05,INTRADAY_BUY,654.4100997195594,5.0,0.1893100490057396,880.0,1003.8864080477607,Volatility Dip
2023-09-07,GAP_BUY,641.8239629570587,5.0,0.19710034710705018,875.0,1001.5037258804588,Bearish Gap x1
2023-09-08,INTRADAY_BUY,646.6484915582279,5.0,0.20483252318922351,870.0,1002.4546421423771,Volatility Dip
2023-09-13,INTRADAY_BUY,652.8704462599137,5.0,0.21249101045671034,865.0,1003.7291008230925,Volatility Dip
2023-09-14,INTRADAY_BUY,657.4202429293731,5.0,0.22009649576656434,860.0,1004.6958917147584,Volatility Dip
2023-09-15,GAP_BUY,659.8560574249669,5.0,0.22767390593615813,855.0,1005.2320059495761,Bearish Gap x1
2023-09-22,INTRADAY_BUY,626.8525048316275,5.0,0.235650263949345,850.0,997.7179582208811,Volatility Dip
2023-09-25,GAP_BUY,615.8195000401807,5.0,0.24376952616769593,845.0,995.1180277296223,Bearish Gap x1
2023-09-26,GAP_BUY,613.0929041681105,5.0,0.25192489701933607,840.0,994.4533667458369,Bearish Gap x1
2023-10-03,GAP_BUY,599.5641340581683,5.0,0.2602642884471677,835.0,991.0451327290914,Bearish Gap x1
2023-10-06,GAP_BUY,597.0162450479139,5.0,0.2686392699346459,830.0,990.3820082087952,Bearish Gap x1
2023-10-09,GAP_BUY,603.1084417647298,5.0,0.2769296529798072,825.0,992.018611487099,Bearish Gap x1
2023-10-11,INTRADAY_BUY,603.1701313089486,5.0,0.28521918812165753,820.0,992.0356951511719,Volatility Dip
2023-10-12,INTRADAY_BUY,600.9185426073086,5.0,0.29353978341949216,815.0,991.3934988497062,Volatility Dip
2023-10-13,GAP_BUY,590.5761671204739,5.0,0.30200609187954897,810.0,988.3576001892577,Bearish Gap x1
2023-10-20,INTRADAY_BUY,582.2528165353857,5.0,0.31059342689623776,805.0,985.8438976077118,Volatility Dip
2023-10-24,INTRADAY_BUY,576.6662288791285,5.0,0.319263953709848,800.0,984.1087402028987,Volatility Dip
2023-10-25,GAP_BUY,571.8483653933026,5.0,0.32800753033362856,795.0,982.5705700579796,Bearish Gap x1
2023-11-01,INTRADAY_BUY,574.0691056520851,5.0,0.33671728313302457,790.0,983.2989895857753,Volatility Dip
