Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-10-11,CORE_BUY,528820.0,100.0,0.00018910026095836013,900.0,1000.0,Macro SMA Cross
2023-10-12,INTRADAY_BUY,528241.887413013,5.0,0.00019856562165606391,895.0,999.8906787589375,Volatility Dip
2023-10-13,INTRADAY_BUY,524973.124435858,5.0,0.0002080899187434111,890.0,999.2416148063323,Volatility Dip
2023-10-16,GAP_SELL,527957.0,30.0,0.0001512671093100671,920.0,999.8625292300151,Bullish Gap x3
2023-10-17,GAP_BUY,525924.0,10.0,0.00017028126344640617,910.0,999.5550031967878,Bearish Gap x2
2023-10-18,GAP_BUY,526116.0,15.0,0.00019879208615470624,895.0,999.5876971993695,Bearish Gap x3
2023-10-19,INTRADAY_BUY,517780.24746901315,5.0,0.00020844869245523767,890.0,997.9306155640652,Volatility Dip
2023-10-20,INTRADAY_SELL,515964.816220955,5.0,0.00019875810921620763,895.0,997.552191294165,Volatility Spike
2023-10-23,INTRADAY_SELL,510073.3825973076,5.0,0.0001889555981058653,900.0,996.3812210865561,Volatility Spike
2023-10-24,GAP_SELL,514760.0,10.0,0.0001695290692380434,910.0,997.2667836809752,Bullish Gap x1
2023-10-25,INTRADAY_SELL,516460.2823786127,5.0,0.0001598477826597765,915.0,997.5550309700633,Volatility Spike
2023-10-26,INTRADAY_BUY,512145.82717831805,5.0,0.00016961062701906308,910.0,996.8653748729113,Volatility Dip
2023-10-27,GAP_BUY,509479.0,5.0,0.00017942457420825047,905.0,996.4130526430453,Bearish Gap x1
2023-10-30,GAP_SELL,505703.0,10.0,0.0001596501216145344,915.0,995.7355454508349,Bullish Gap x1
2023-10-31,INTRADAY_BUY,513121.86062229134,5.0,0.0001693943956042183,910.0,996.919967451425,Volatility Dip
2023-11-01,INTRADAY_BUY,517149.8717237244,5.0,0.0001790627727486124,905.0,997.6022899574393,Volatility Dip
2023-11-02,GAP_SELL,527362.0,20.0,0.00014113815929523503,925.0,999.4309019622538,Bullish Gap x2
2023-11-03,GAP_SELL,533032.0,10.0,0.00012237755955638258,935.0,1000.2311553254577,Bullish Gap x1
2023-11-06,GAP_SELL,538674.0,5.921609516474831,0.00011138462223905367,940.9216095164749,1000.9216095164749,Bullish Gap x3
2023-11-07,GAP_BUY,525816.0,5.0,0.0001208936520137277,935.9216095164749,999.4894260437251,Bearish Gap x1
2023-11-08,INTRADAY_BUY,525300.7999421253,5.0,0.00013041200797387639,930.9216095164749,999.427141627211,Volatility Dip
2023-11-09,GAP_SELL,528812.0,8.963434760681523,0.00011346187302859995,939.8850442771563,999.8850442771563,Bullish Gap x1
2023-11-10,GAP_SELL,531935.0,0.35434142946831315,0.00011279573632116706,940.2393857066246,1000.2393857066246,Bullish Gap x2
2023-11-13,GAP_SELL,533683.0,0.19716694708939997,0.00011242629051328224,940.436552653714,1000.436552653714,Bullish Gap x1
2023-11-14,GAP_SELL,535813.0,0.2394679987932946,0.00011197936593550363,940.6760206525073,1000.6760206525073,Bullish Gap x2
2023-11-15,INTRADAY_BUY,537812.409821676,5.0,0.00012127628788949474,935.6760206525073,1000.8999132965838,Volatility Dip
2023-11-16,INTRADAY_BUY,542618.650250494,5.0,0.00013049086243036576,930.6760206525073,1001.4827962944953,Volatility Dip
2023-11-17,INTRADAY_BUY,547379.9351982694,5.0,0.00013962528566820133,925.6760206525073,1002.1041004736072,Volatility Dip
2023-11-20,INTRADAY_BUY,543929.3522755635,5.0,0.00014881765592562939,920.6760206525073,1001.6223118473026,Volatility Dip
2023-11-21,GAP_BUY,546992.0,5.0,0.00015795855743790013,915.6760206525073,1002.0780879025792,Bearish Gap x1
2023-11-22,INTRADAY_BUY,548680.6471164405,5.0,0.0001670713264525851,910.6760206525073,1002.3448241651138,Volatility Dip
2023-11-24,INTRADAY_BUY,549398.9358024352,5.0,0.00017617218135813228,905.6760206525073,1002.4648296086588,Volatility Dip
2023-11-27,INTRADAY_BUY,548961.3691202854,5.0,0.00018528029038229282,900.6760206525073,1002.3877425317748,Volatility Dip
2023-11-28,INTRADAY_BUY,547387.9272837881,5.0,0.0001944145802538482,895.6760206525073,1002.096214771409,Volatility Dip
2023-11-29,INTRADAY_SELL,548575.3155126249,10.0,0.0001761855427503008,905.6760206525073,1002.3270603555167,Volatility Spike
2023-11-30,INTRADAY_SELL,546378.8157448708,10.0,0.00015788322261666395,915.6760206525073,1001.940068851784,Volatility Spike
2023-12-04,INTRADAY_SELL,542767.1282272076,10.0,0.0001394591149654469,925.6760206525073,1001.369843987411,Volatility Spike
2023-12-05,GAP_BUY,539845.0,20.0,0.00017650678605622295,905.6760206525073,1000.9623265710289,Bearish Gap x4
2023-12-06,GAP_SELL,542181.0,10.0,0.00015806276090595027,915.6760206525073,1001.3746464232563,Bullish Gap x1
2023-12-07,INTRADAY_BUY,535541.6585236706,12.5,0.00018140361553611815,903.1760206525073,1000.3252137789103,Volatility Dip
2023-12-08,INTRADAY_BUY,537471.7471764407,5.0,0.00019070643010500862,898.1760206525073,1000.6753388388281,Volatility Dip
2023-12-11,INTRADAY_BUY,540097.1472693391,5.0,0.00019996402390138276,893.1760206525073,1001.1760195181421,Volatility Dip
2023-12-12,GAP_BUY,545954.0,5.0,0.00020912230463565707,888.1760206525073,1002.3471793575628,Bearish Gap x1
2023-12-13,GAP_SELL,551682.0,10.0,0.00019099592023304833,898.1760206525073,1003.5450319185159,Bullish Gap x1
