Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-10-11,CORE_BUY,348.42999267578125,100.0,0.2870016993429476,900.0,1000.0,Macro SMA Cross
2023-10-12,INTRADAY_BUY,347.85669625811454,5.0,0.3013754344292198,895.0,999.8354629539024,Volatility Dip
2023-10-13,INTRADAY_BUY,345.64894706886906,5.0,0.3158409782776834,890.0,999.1701015828828,Volatility Dip
2023-10-16,GAP_SELL,348.0,20.0,0.25836971390986735,910.0,999.9126604406339,Bullish Gap x2
2023-10-17,INTRADAY_BUY,345.828757123389,5.0,0.27282773654971404,905.0,999.351677039775,Volatility Dip
2023-10-18,GAP_BUY,344.7200012207031,5.0,0.28733226191027994,900.0,999.0491776764591,Bearish Gap x1
2023-10-19,GAP_BUY,340.30999755859375,5.0,0.30202474827821013,895.0,997.7820413491926,Bearish Gap x1
2023-10-20,INTRADAY_SELL,339.1792587506978,5.0,0.2872832808358419,900.0,997.4405302453694,Volatility Spike
2023-10-23,INTRADAY_SELL,335.086853468214,5.0,0.2723617763117192,905.0,996.2648506293075,Volatility Spike
2023-10-24,GAP_SELL,338.17999267578125,10.0,0.2427917242194088,915.0,997.10730351826,Bullish Gap x1
2023-10-26,INTRADAY_BUY,336.7280147980121,5.0,0.25764050359109036,910.0,996.7547753057879,Volatility Dip
2023-10-27,INTRADAY_BUY,335.778966477021,5.0,0.27253125166998227,905.0,996.5102620184356,Volatility Dip
2023-10-30,GAP_SELL,332.9599914550781,10.0,0.24249761322501862,915.0,995.742003227279,Bullish Gap x1
2023-10-31,INTRADAY_BUY,337.60712682448496,5.0,0.2573077271199169,910.0,996.8689224626937,Volatility Dip
2023-11-01,INTRADAY_BUY,340.863798485045,5.0,0.2719763426262344,905.0,997.7068892456483,Volatility Dip
2023-11-02,GAP_SELL,346.3900146484375,20.0,0.2142379577010839,925.0,999.2098893063298,Bullish Gap x2
2023-11-03,GAP_SELL,350.1700134277344,10.0,0.1856804010385008,935.0,1000.0197085249189,Bullish Gap x1
2023-11-06,GAP_SELL,354.0299987792969,5.736432152999797,0.16947716353665312,940.7364321529998,1000.7364321529998,Bullish Gap x2
2023-11-07,INTRADAY_BUY,346.4581228008236,5.0,0.1839089221560764,935.7364321529998,999.4531720895168,Volatility Dip
2023-11-08,INTRADAY_BUY,346.4980907529219,5.0,0.19833901609724436,930.7364321529998,999.460522552508,Volatility Dip
2023-11-09,GAP_SELL,347.6400146484375,8.950578461402714,0.17259232962775298,939.6870106144025,999.6870106144025,Bullish Gap x1
2023-11-10,GAP_SELL,349.6000061035156,0.33827949128242096,0.17162471096248827,940.0252901056849,1000.0252901056849,Bullish Gap x1
2023-11-13,GAP_BUY,350.0899963378906,5.0,0.18590675287257538,935.0252901056849,1000.109384538034,Bearish Gap x1
2023-11-14,GAP_SELL,352.5199890136719,5.535846480207681,0.17020311434785904,940.5611365858927,1000.5611365858927,Bullish Gap x2
2023-11-15,INTRADAY_BUY,354.65978436698595,5.0,0.18430113228052158,935.5611365858927,1000.9253364190938,Volatility Dip
2023-11-16,INTRADAY_BUY,357.4269934257627,5.0,0.1982900029924884,930.5611365858927,1001.4353361818833,Volatility Dip
2023-11-17,INTRADAY_BUY,360.10426697066464,5.0,0.21217487040064748,925.5611365858927,1001.9662127611136,Volatility Dip
2023-11-20,INTRADAY_BUY,358.9854082048319,5.0,0.22610301312099745,920.5611365858927,1001.7288190474763,Volatility Dip
2023-11-21,GAP_BUY,360.5799865722656,10.0,0.2538361108313327,910.5611365858927,1002.0893580210108,Bearish Gap x2
2023-11-22,INTRADAY_BUY,361.39296666795394,5.0,0.2676714658635571,905.5611365858927,1002.2957217266835,Volatility Dip
2023-11-24,INTRADAY_BUY,362.14220571506854,5.0,0.28147819681370206,900.5611365858927,1002.4962716407069,Volatility Dip
2023-11-27,INTRADAY_BUY,362.2720786944268,5.0,0.2952799781102879,895.5611365858927,1002.5328280527515,Volatility Dip
2023-11-28,INTRADAY_BUY,361.18315778439916,5.0,0.3091233700078266,890.5611365858927,1002.2112915102747,Volatility Dip
2023-12-04,INTRADAY_SELL,356.9933266390263,5.0,0.29511750595688385,895.5611365858927,1000.9161167868533,Volatility Spike
2023-12-05,GAP_BUY,355.2300109863281,15.0,0.33734366798173965,880.5611365858927,1000.3957314692143,Bearish Gap x3
2023-12-06,GAP_SELL,356.1499938964844,10.0,0.3092656105020966,890.5611365858927,1000.7060818786069,Bullish Gap x1
2023-12-07,GAP_BUY,352.0,5.0,0.3234701559566421,885.5611365858927,999.4226314826307,Bearish Gap x1
2023-12-08,INTRADAY_BUY,352.6418448419386,5.0,0.3376488476608019,880.5611365858927,999.6302491337525,Volatility Dip
2023-12-11,GAP_SELL,355.0,10.0,0.3094798335762948,890.5611365858927,1000.4264775054774,Bullish Gap x1
2023-12-12,INTRADAY_BUY,357.5368671857644,5.0,0.32346440540340704,885.5611365858927,1001.2115867399328,Volatility Dip
2023-12-13,INTRADAY_BUY,359.82455227920644,5.0,0.3373600664091081,880.5611365858927,1001.9515714384333,Volatility Dip
2023-12-14,GAP_SELL,364.04998779296875,10.0,0.30989131119605506,890.5611365858927,1003.3770646439635,Bullish Gap x1
2023-12-15,GAP_BUY,357.6300048828125,5.0,0.32387224101663425,885.5611365858927,1001.387567722079,Bearish Gap x1
2023-12-18,INTRADAY_BUY,357.0573737070446,5.0,0.3378755927695723,880.5611365858927,1001.202108379907,Volatility Dip
2023-12-19,INTRADAY_BUY,359.7845843271082,5.0,0.3517727974242723,875.5611365858927,1002.1235662847685,Volatility Dip
2023-12-20,INTRADAY_BUY,361.1531894419791,5.0,0.36561733804075014,870.5611365858927,1002.6050043345958,Volatility Dip
2023-12-21,INTRADAY_BUY,355.65876976313876,5.0,0.37967575702288264,865.5611365858927,1000.5961492375395,Volatility Dip
2023-12-22,INTRADAY_BUY,356.13829372847346,5.0,0.3937152469852064,860.5611365858927,1000.7782128620886,Volatility Dip
2023-12-26,INTRADAY_BUY,356.5378817896116,5.0,0.4077390022588478,855.5611365858927,1000.9355367742719,Volatility Dip
2023-12-27,GAP_BUY,355.92999267578125,10.0,0.4358344148562039,845.5611365858927,1000.6876766735147,Bearish Gap x2
2023-12-28,INTRADAY_BUY,357.11731039188453,5.0,0.4498354163604805,840.5611365858927,1001.205150595561,Volatility Dip
2023-12-29,INTRADAY_BUY,357.19721580946623,5.0,0.46383328582502603,835.5611365858927,1001.2410948823483,Volatility Dip
