Date,Price,Cash,Inventory,Avg_Cost,Total_Value
2024-08-19,58.543426513671875,300.0,0,0.0,300.0
2024-08-20,58.3991813659668,300.0,0,0.0,300.0
2024-08-21,58.629966735839844,300.0,0,0.0,300.0
2024-08-22,58.533809661865234,300.0,0,0.0,300.0
2024-08-23,59.081932067871094,300.0,0,0.0,300.0
2024-08-26,59.15886306762695,300.0,0,0.0,300.0
2024-08-27,59.15886306762695,300.0,0,0.0,300.0
2024-08-28,59.05308151245117,300.0,0,0.0,300.0
2024-08-29,59.29349136352539,300.0,0,0.0,300.0
2024-08-30,59.755069732666016,300.0,0,0.0,300.0
2024-09-03,59.14924240112305,300.0,0,0.0,300.0
2024-09-04,59.13963317871094,300.0,0,0.0,300.0
2024-09-05,58.72613525390625,300.0,0,0.0,300.0
2024-09-06,58.11069869995117,300.0,0,0.0,300.0
2024-09-09,58.69728469848633,300.0,0,0.0,300.0
2024-09-10,58.70690155029297,300.0,0,0.0,300.0
2024-09-11,58.629966735839844,300.0,0,0.0,300.0
2024-09-12,58.99538803100586,300.0,0,0.0,300.0
2024-09-13,59.40888595581055,300.0,0,0.0,300.0
2024-09-16,59.80314254760742,300.0,0,0.0,300.0
2024-09-17,59.764686584472656,300.0,0,0.0,300.0
2024-09-18,59.649288177490234,300.0,0,0.0,300.0
2024-09-19,60.16856384277344,300.0,0,0.0,300.0
2024-09-20,60.1204833984375,300.0,0,0.0,300.0
2024-09-23,60.35126495361328,300.0,0,0.0,300.0
2024-09-24,60.341651916503906,300.0,0,0.0,300.0
2024-09-25,59.96709442138672,300.0,0,0.0,300.0
2024-09-26,60.228416442871094,300.0,0,0.0,300.0
2024-09-27,60.392948150634766,300.0,0,0.0,300.0
2024-09-30,60.67361831665039,300.0,0,0.0,300.0
2024-10-01,60.4897346496582,300.0,0,0.0,300.0
2024-10-02,60.50908660888672,300.0,0,0.0,300.0
2024-10-03,60.247772216796875,300.0,0,0.0,300.0
2024-10-04,60.63490676879883,300.0,0,0.0,300.0
2024-10-07,60.189701080322266,300.0,0,0.0,300.0
2024-10-08,60.30583953857422,300.0,0,0.0,300.0
2024-10-09,60.87687301635742,300.0,0,0.0,300.0
2024-10-10,60.722015380859375,300.0,0,0.0,300.0
2024-10-11,61.2446403503418,300.0,0,0.0,300.0
2024-10-14,61.72855758666992,300.0,0,0.0,300.0
2024-10-15,61.38013458251953,300.0,0,0.0,300.0
2024-10-16,61.74791717529297,300.0,0,0.0,300.0
2024-10-17,61.74791717529297,300.0,0,0.0,300.0
2024-10-18,61.83502197265625,300.0,0,0.0,300.0
2024-10-21,61.28335952758789,300.0,0,0.0,300.0
2024-10-22,61.25432586669922,300.0,0,0.0,300.0
2024-10-23,61.04139709472656,300.0,0,0.0,300.0
2024-10-24,60.88654327392578,300.0,0,0.0,300.0
2024-10-25,60.499412536621094,300.0,0,0.0,300.0
2024-10-28,60.799442291259766,300.0,0,0.0,300.0
2024-10-29,60.518768310546875,300.0,0,0.0,300.0
2024-10-30,60.43165969848633,300.0,0,0.0,300.0
2024-10-31,59.957420349121094,300.0,0,0.0,300.0
2024-11-01,59.957420349121094,300.0,0,0.0,300.0
2024-11-04,59.87999725341797,300.0,0,0.0,300.0
2024-11-05,60.40262985229492,300.0,0,0.0,300.0
2024-11-06,61.8156623840332,300.0,0,0.0,300.0
2024-11-07,61.7188835144043,300.0,0,0.0,300.0
2024-11-08,62.0866584777832,300.0,0,0.0,300.0
2024-11-11,62.12537384033203,300.0,0,0.0,300.0
2024-11-12,61.65113067626953,300.0,0,0.0,300.0
2024-11-13,61.7188835144043,300.0,0,0.0,300.0
2024-11-14,61.34142303466797,300.0,0,0.0,300.0
2024-11-15,60.95429611206055,300.0,0,0.0,300.0
2024-11-18,61.19624710083008,300.0,0,0.0,300.0
2024-11-19,60.97364807128906,300.0,0,0.0,300.0
2024-11-20,61.012367248535156,300.0,0,0.0,300.0
2024-11-21,61.7188835144043,300.0,0,0.0,300.0
2024-11-22,62.19312286376953,300.0,0,0.0,300.0
2024-11-25,62.580257415771484,300.0,0,0.0,300.0
2024-11-26,62.6673583984375,300.0,0,0.0,300.0
2024-11-27,62.63833236694336,300.0,0,0.0,300.0
2024-11-29,62.85124969482422,300.0,0,0.0,300.0
2024-12-02,62.67703628540039,300.0,0,0.0,300.0
2024-12-03,62.42539978027344,300.0,0,0.0,300.0
2024-12-04,62.21248245239258,300.0,0,0.0,300.0
2024-12-05,62.1544075012207,300.0,0,0.0,300.0
2024-12-06,62.018917083740234,300.0,0,0.0,300.0
2024-12-09,61.738243103027344,300.0,0,0.0,300.0
2024-12-10,61.48659896850586,300.0,0,0.0,300.0
2024-12-11,61.32207107543945,300.0,0,0.0,300.0
2024-12-12,61.11882781982422,300.0,0,0.0,300.0
2024-12-13,61.34142303466797,300.0,0,0.0,300.0
2024-12-16,61.19624710083008,300.0,0,0.0,300.0
2024-12-17,60.89247131347656,300.0,0,0.0,300.0
2024-12-18,59.30540466308594,300.0,0,0.0,300.0
2024-12-19,59.130149841308594,300.0,0,0.0,300.0
2024-12-20,59.76302719116211,300.0,0,0.0,300.0
2024-12-23,60.006446838378906,300.0,0,0.0,300.0
2024-12-24,60.51274108886719,300.0,0,0.0,300.0
2024-12-26,60.639320373535156,300.0,0,0.0,300.0
2024-12-27,60.26932907104492,239.73067092895508,1,60.26932907104492,300.0
2024-12-30,59.62671661376953,239.73067092895508,1,60.26932907104492,299.3573875427246
2024-12-31,59.72408676147461,239.73067092895508,1,60.26932907104492,299.4547576904297
2025-01-02,59.50988006591797,239.73067092895508,1,60.26932907104492,299.24055099487305
2025-01-03,59.89934158325195,239.73067092895508,1,60.26932907104492,299.63001251220703
2025-01-06,59.72408676147461,239.73067092895508,1,60.26932907104492,299.4547576904297
2025-01-07,59.62671661376953,239.73067092895508,1,60.26932907104492,299.3573875427246
2025-01-08,59.753292083740234,239.73067092895508,1,60.26932907104492,299.4839630126953
2025-01-10,58.86726379394531,239.73067092895508,1,60.26932907104492,298.5979347229004
2025-01-13,59.33462142944336,239.73067092895508,1,60.26932907104492,299.06529235839844
2025-01-14,59.66566467285156,239.73067092895508,1,60.26932907104492,299.39633560180664
2025-01-15,60.347225189208984,239.73067092895508,1,60.26932907104492,300.07789611816406
2025-01-16,60.639320373535156,239.73067092895508,1,60.26932907104492,300.36999130249023
2025-01-17,60.941158294677734,239.73067092895508,1,60.26932907104492,300.6718292236328
2025-01-21,61.44745635986328,239.73067092895508,1,60.26932907104492,301.17812728881836
2025-01-22,61.24298858642578,239.73067092895508,1,60.26932907104492,300.97365951538086
2025-01-23,61.681129455566406,239.73067092895508,1,60.26932907104492,301.4118003845215
2025-01-24,61.661659240722656,239.73067092895508,1,60.26932907104492,301.39233016967773
2025-01-27,61.94401550292969,239.73067092895508,1,60.26932907104492,301.67468643188477
2025-01-28,61.55455780029297,239.73067092895508,1,60.26932907104492,301.28522872924805
2025-01-29,61.44745635986328,239.73067092895508,1,60.26932907104492,301.17812728881836
2025-01-30,62.06085968017578,239.73067092895508,1,60.26932907104492,301.79153060913086
2025-01-31,61.7979736328125,239.73067092895508,1,60.26932907104492,301.5286445617676
2025-02-03,61.61297607421875,239.73067092895508,1,60.26932907104492,301.3436470031738
2025-02-04,61.62271499633789,239.73067092895508,1,60.26932907104492,301.35338592529297
2025-02-05,62.11927795410156,239.73067092895508,1,60.26932907104492,301.84994888305664
2025-02-06,62.012176513671875,239.73067092895508,1,60.26932907104492,301.74284744262695
2025-02-07,61.61297607421875,239.73067092895508,1,60.26932907104492,301.3436470031738
2025-02-10,61.87586212158203,239.73067092895508,1,60.26932907104492,301.6065330505371
2025-02-11,62.2848014831543,239.73067092895508,1,60.26932907104492,302.0154724121094
2025-02-12,61.9148063659668,239.73067092895508,1,60.26932907104492,301.6454772949219
2025-02-13,62.38216781616211,239.73067092895508,1,60.26932907104492,302.1128387451172
2025-02-14,62.12901306152344,239.73067092895508,1,60.26932907104492,301.8596839904785
2025-02-18,62.411376953125,239.73067092895508,1,60.26932907104492,302.1420478820801
2025-02-19,62.722938537597656,239.73067092895508,1,60.26932907104492,302.45360946655273
2025-02-20,62.56715774536133,239.73067092895508,1,60.26932907104492,302.2978286743164
2025-02-21,62.08032989501953,239.73067092895508,1,60.26932907104492,301.8110008239746
2025-02-24,62.02191162109375,239.73067092895508,1,60.26932907104492,301.7525825500488
2025-02-25,62.2069091796875,239.73067092895508,1,60.26932907104492,301.9375801086426
2025-02-26,61.92454528808594,239.73067092895508,1,60.26932907104492,301.655216217041
2025-02-27,61.67139434814453,239.73067092895508,1,60.26932907104492,301.4020652770996
2025-02-28,62.430850982666016,239.73067092895508,1,60.26932907104492,302.1615219116211
2025-03-03,61.982967376708984,239.73067092895508,1,60.26932907104492,301.71363830566406
2025-03-04,60.950889587402344,239.73067092895508,1,60.26932907104492,300.6815605163574
2025-03-05,61.37929916381836,239.73067092895508,1,60.26932907104492,301.10997009277344
2025-03-06,60.950889587402344,239.73067092895508,1,60.26932907104492,300.6815605163574
2025-03-07,61.64218521118164,239.73067092895508,1,60.26932907104492,301.3728561401367
2025-03-10,60.82431411743164,239.73067092895508,1,60.26932907104492,300.5549850463867
2025-03-11,59.967498779296875,239.73067092895508,1,60.26932907104492,299.69816970825195
2025-03-12,59.548824310302734,239.73067092895508,1,60.26932907104492,299.2794952392578
2025-03-13,59.07172775268555,239.73067092895508,1,60.26932907104492,298.8023986816406
2025-03-14,59.91881561279297,239.73067092895508,1,60.26932907104492,299.64948654174805
2025-03-17,60.541954040527344,239.73067092895508,1,60.26932907104492,300.2726249694824
2025-03-18,60.229793548583984,239.73067092895508,1,60.26932907104492,299.96046447753906
2025-03-19,60.60164260864258,179.1290283203125,2,60.43548583984375,300.33231353759766
2025-03-20,60.396148681640625,179.1290283203125,2,60.43548583984375,299.92132568359375
2025-03-21,60.200439453125,179.1290283203125,2,60.43548583984375,299.5299072265625
2025-03-24,60.82670974731445,179.1290283203125,2,60.43548583984375,300.7824478149414
2025-03-25,60.59185791015625,179.1290283203125,2,60.43548583984375,300.312744140625
2025-03-26,60.60164260864258,179.1290283203125,2,60.43548583984375,300.33231353759766
2025-03-27,60.542930603027344,179.1290283203125,2,60.43548583984375,300.2148895263672
2025-03-28,59.83837890625,179.1290283203125,2,60.43548583984375,298.8057861328125
2025-03-31,60.45486068725586,179.1290283203125,2,60.43548583984375,300.0387496948242
2025-04-01,60.28851318359375,179.1290283203125,2,60.43548583984375,299.7060546875
2025-04-02,60.66035842895508,179.1290283203125,2,60.43548583984375,300.44974517822266
2025-04-03,58.41947555541992,179.1290283203125,2,60.43548583984375,295.96797943115234
2025-04-04,55.2196159362793,179.1290283203125,2,60.43548583984375,289.5682601928711
2025-04-07,54.749908447265625,179.1290283203125,2,60.43548583984375,288.62884521484375
2025-04-08,54.03557205200195,179.1290283203125,2,60.43548583984375,287.2001724243164
2025-04-09,57.646419525146484,179.1290283203125,2,60.43548583984375,294.42186737060547
2025-04-10,56.11988067626953,179.1290283203125,2,60.43548583984375,291.36878967285156
2025-04-11,57.08864974975586,179.1290283203125,2,60.43548583984375,293.3063278198242
2025-04-14,57.74427795410156,179.1290283203125,2,60.43548583984375,294.6175842285156
2025-04-15,57.51920700073242,179.1290283203125,2,60.43548583984375,294.16744232177734
2025-04-16,56.69722366333008,179.1290283203125,2,60.43548583984375,292.52347564697266
2025-04-17,56.97121810913086,179.1290283203125,2,60.43548583984375,293.0714645385742
2025-04-21,55.98288345336914,179.1290283203125,2,60.43548583984375,291.0947952270508
2025-04-22,57.176719665527344,179.1290283203125,2,60.43548583984375,293.4824676513672
2025-04-23,57.51920700073242,179.1290283203125,2,60.43548583984375,294.16744232177734
2025-04-24,58.155269622802734,179.1290283203125,2,60.43548583984375,295.43956756591797
2025-04-25,58.204193115234375,179.1290283203125,2,60.43548583984375,295.53741455078125
2025-04-28,58.370548248291016,179.1290283203125,2,60.43548583984375,295.87012481689453
2025-04-29,58.7032585144043,179.1290283203125,2,60.43548583984375,296.5355453491211
2025-04-30,58.850040435791016,179.1290283203125,2,60.43548583984375,296.82910919189453
2025-05-01,58.7032585144043,179.1290283203125,2,60.43548583984375,296.5355453491211
