Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2024-11-01,CORE_BUY,16.98878288269043,100.0,5.886236859374325,200.0,300.0,Macro SMA Cross
2024-11-04,INTRADAY_SELL,17.138591539643752,5.0,5.594497600145562,205.0,300.881809238412,Volatility Spike
2024-11-05,INTRADAY_BUY,17.08824866981838,5.0,5.887096338413639,200.0,300.6001661739895,Volatility Dip
2024-11-06,GAP_SELL,17.585032472347507,20.0,4.749765484379105,220.0,303.52478027884194,Bullish Gap x2
2024-11-07,GAP_BUY,17.35171579400347,5.0,5.037921425806403,215.0,302.4165807731134,Bearish Gap x1
2024-11-08,INTRADAY_BUY,17.389853192202267,5.0,5.325445417224688,210.0,302.60871398862366,Volatility Dip
2024-11-11,INTRADAY_BUY,17.476030882806164,5.0,5.6115515721937355,205.0,303.0676485761172,Volatility Dip
2024-11-13,GAP_SELL,17.308509188738906,10.0,5.033801062836979,215.0,302.1275919503975,Bullish Gap x1
2024-11-18,INTRADAY_BUY,16.748757996819815,5.0,5.33233066132717,210.0,299.30991580559095,Volatility Dip
2024-11-19,GAP_BUY,16.76046021890512,5.0,5.630651825226965,205.0,299.37231592322206,Bearish Gap x1
2024-11-20,INTRADAY_BUY,16.861512637733544,5.0,5.927185126089354,200.0,299.9413069097419,Volatility Dip
2024-11-21,INTRADAY_SELL,17.08382071011685,5.0,5.6345105490821705,205.0,301.2589680097818,Volatility Spike
2024-11-25,INTRADAY_SELL,17.417079377349054,10.0,5.06036147486913,215.0,303.1367174858748,Volatility Spike
2024-11-26,INTRADAY_BUY,17.34723813964317,5.0,5.3485917948630455,210.0,302.7832955772308,Volatility Dip
2024-11-27,INTRADAY_BUY,17.486015639192825,5.0,5.634534579266892,205.0,303.52555977263364,Volatility Dip
2024-11-29,INTRADAY_BUY,17.45999332137628,5.0,5.920903531875739,200.0,303.3789361230636,Volatility Dip
2024-12-06,INTRADAY_BUY,17.008966874415925,7.5,6.361847420788894,192.5,300.7084520402867,Volatility Dip
2024-12-10,INTRADAY_BUY,16.982945445611115,5.0,6.656260425647963,187.5,300.54290768055955,Volatility Dip
2024-12-11,INTRADAY_BUY,16.878861473468703,5.0,6.952488936549561,182.5,299.8500976558438,Volatility Dip
2024-12-18,INTRADAY_BUY,16.635996552687033,5.0,7.253042016382485,177.5,298.16158198103324,Volatility Dip
2024-12-19,INTRADAY_BUY,15.968130444877493,5.0,7.566165710935217,172.5,293.3175210397728,Volatility Dip
2024-12-20,GAP_BUY,15.603667662583737,10.0,8.207040678041775,162.5,290.5599352334698,Bearish Gap x2
2024-12-24,INTRADAY_SELL,15.798478499918822,5.0,7.890554505020386,167.5,292.1587557000022,Volatility Spike
2024-12-26,INTRADAY_SELL,15.904449852027268,5.0,7.5761770794244505,172.5,292.9949284297846,Volatility Spike
2024-12-30,GAP_BUY,15.484436336093323,10.0,8.221986832065596,162.5,289.81283165731736,Bearish Gap x2
2024-12-31,INTRADAY_BUY,15.546376847680772,5.0,8.54360517754819,157.5,290.3221057279608,Volatility Dip
2025-01-02,INTRADAY_BUY,15.703582962850142,5.0,8.862003852030853,152.5,291.66521270746404,Volatility Dip
2025-01-03,INTRADAY_SELL,15.710167657632418,5.0,8.54373862985349,157.5,291.723566297989,Volatility Spike
2025-01-06,INTRADAY_BUY,15.694848393296734,5.0,8.862314501037789,152.5,291.5926825075033,Volatility Dip
2025-01-07,INTRADAY_BUY,15.485236524386758,5.0,9.185202691484593,147.5,289.73503620207276,Volatility Dip
2025-01-08,GAP_BUY,15.291751189379092,5.0,9.512176361019103,142.5,287.95783418219753,Bearish Gap x1
