Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-12-21,CORE_BUY,562.1759033203125,100.0,0.17788026738496246,900.0,1000.0,Macro SMA Cross
2023-12-22,INTRADAY_BUY,561.1967760845313,5.0,0.1867897982537693,895.0,999.8258325854954,Volatility Dip
2023-12-27,INTRADAY_SELL,566.6203413678898,5.0,0.17796554745484916,900.0,1000.83889925059,Volatility Spike
2023-12-29,INTRADAY_BUY,570.8238400163683,5.0,0.1867248172145996,895.0,1001.5869771887922,Volatility Dip
2024-01-02,GAP_BUY,570.4414462649199,5.0,0.19548995872515867,890.0,1001.515574785449,Bearish Gap x1
2024-01-03,GAP_SELL,589.6949892380704,10.0,0.17853203949148716,900.0,1005.2794491065833,Bullish Gap x1
2024-01-04,GAP_SELL,614.5211287552113,10.0,0.16225920600851768,910.0,1009.7117104272786,Bullish Gap x1
2024-01-05,INTRADAY_BUY,601.3311466109724,5.0,0.17057409212106878,905.0,1007.571514397288,Volatility Dip
2024-01-08,INTRADAY_BUY,609.5872526187458,5.0,0.17877636337677555,900.0,1008.9797921840192,Volatility Dip
2024-01-09,INTRADAY_BUY,617.1087956571324,5.0,0.18687866241251644,895.0,1010.3244662954038,Volatility Dip
2024-01-10,INTRADAY_BUY,615.522249107355,5.0,0.19500184562360445,890.0,1010.0279745983263,Volatility Dip
2024-01-11,INTRADAY_BUY,621.3004828486174,5.0,0.20304948141019738,885.0,1011.154740842317,Volatility Dip
2024-01-12,INTRADAY_BUY,625.0319313844036,5.0,0.21104907270935763,880.0,1011.9124095324172,Volatility Dip
2024-01-16,INTRADAY_BUY,630.624162027064,5.0,0.21897772546495156,875.0,1013.0926446239275,Volatility Dip
2024-01-17,INTRADAY_BUY,626.2561191303538,5.0,0.22696167938933512,870.0,1012.1361405256727,Volatility Dip
2024-01-18,GAP_BUY,610.6094651670292,15.0,0.2515272992424385,855.0,1008.5849496653327,Bearish Gap x3
2024-01-19,INTRADAY_SELL,618.1575014571648,10.0,0.23535019231349677,865.0,1010.4834868479744,Volatility Spike
2024-01-24,INTRADAY_SELL,629.2118020336043,10.0,0.21945729270849867,875.0,1013.0851186145306,Volatility Spike
2024-01-25,GAP_BUY,616.5948089291666,10.0,0.2356753987567265,865.0,1010.316227465709,Bearish Gap x2
2024-01-26,GAP_SELL,626.4034825501659,10.0,0.21971124740927744,875.0,1012.6278905326125,Bullish Gap x1
2024-01-30,INTRADAY_BUY,632.3770409318821,5.0,0.22761792282025048,870.0,1013.9403484961315,Volatility Dip
2024-01-31,INTRADAY_BUY,636.9606093780885,5.0,0.23546770179619353,865.0,1014.9836508249615,Volatility Dip
2024-02-01,INTRADAY_BUY,633.9735683489059,5.0,0.24335446592899765,860.0,1014.2802991386488,Volatility Dip
2024-02-02,INTRADAY_BUY,648.7130079671538,5.0,0.25106203451262804,855.0,1017.8672075950403,Volatility Dip
2024-02-05,GAP_SELL,679.1517682350075,30.0,0.20688928638305376,885.0,1025.5092246759298,Bullish Gap x3
2024-02-06,GAP_SELL,729.2561542459787,30.0,0.16575147791160003,915.0,1035.8752853424007,Bullish Gap x3
2024-02-07,INTRADAY_BUY,695.7226692914863,5.0,0.17293824962494944,910.0,1030.3170606516671,Volatility Dip
2024-02-08,INTRADAY_BUY,713.2922940388041,5.0,0.1799479987022723,905.0,1033.3555208020355,Volatility Dip
2024-02-09,INTRADAY_SELL,730.4984244987829,10.0,0.16625871524233699,915.0,1036.451729543719,Volatility Spike
2024-02-12,INTRADAY_BUY,725.5148687899516,5.0,0.1731503727604513,910.0,1035.62316997423,Volatility Dip
2024-02-13,GAP_BUY,717.6391023242659,10.0,0.1870849534816137,900.0,1034.2594780749223,Bearish Gap x2
2024-02-14,INTRADAY_SELL,742.0466424162141,10.0,0.1736087116547677,910.0,1038.8257615776251,Volatility Spike
2024-02-15,INTRADAY_BUY,741.5029340455169,5.0,0.18035177330756635,905.0,1038.7313690678725,Volatility Dip
2024-02-16,GAP_SELL,759.1159326863705,10.0,0.1671785548709412,915.0,1041.9079046060142,Bullish Gap x1
2024-02-20,INTRADAY_BUY,775.0558297127703,5.0,0.17362970304416758,910.0,1044.5727135556792,Volatility Dip
2024-02-21,GAP_BUY,726.6749462999677,25.0,0.20803298077830887,885.0,1036.1723551356997,Bearish Gap x5
2024-02-22,GAP_SELL,751.781018284794,20.0,0.18142948918493176,905.0,1041.395246126338,Bullish Gap x2
2024-02-23,INTRADAY_BUY,759.3585594348342,5.0,0.18801399388021212,900.0,1042.7700355464676,Volatility Dip
2024-02-26,INTRADAY_SELL,767.3976976265038,10.0,0.17498294097123265,910.0,1044.2815060252383,Volatility Spike
2024-02-27,GAP_BUY,743.2350478125943,25.0,0.20861967550572103,885.0,1040.0534544991424,Bearish Gap x5
2024-02-28,GAP_BUY,750.4714897656313,5.0,0.21528215378529095,880.0,1041.563118671201,Bearish Gap x1
2024-02-29,GAP_BUY,741.4432309380334,5.0,0.22202575840849895,875.0,1039.6194956658646,Bearish Gap x1
2024-03-01,GAP_SELL,757.1368132917449,10.0,0.20881810580932897,885.0,1043.1038751900937,Bullish Gap x1
2024-03-04,GAP_SELL,784.1331061954901,10.0,0.19606516894058906,895.0,1048.7411899381277,Bullish Gap x1
2024-03-05,GAP_BUY,773.1752654774509,10.0,0.20899884704244195,885.0,1046.5927390465213,Bearish Gap x2
2024-03-06,INTRADAY_BUY,769.4540052779473,5.0,0.2154969612451146,880.0,1045.81499995528,Volatility Dip
2024-03-07,GAP_BUY,759.9134124186324,10.0,0.22865635524524452,870.0,1043.7590311856209,Bearish Gap x2
2024-03-12,INTRADAY_SELL,737.2110956770545,5.0,0.2218740373592013,875.0,1038.5680021838684,Volatility Spike
2024-03-14,INTRADAY_BUY,750.4797400352335,17.5,0.24519245498787495,857.5,1041.511969877901,Volatility Dip
2024-03-15,GAP_BUY,743.707681828702,5.0,0.2519155265953989,852.5,1039.8515123009208,Bearish Gap x1
2024-03-18,GAP_SELL,750.5010492291583,10.0,0.2385910948570675,862.5,1041.5628670269627,Bullish Gap x1
2024-03-19,GAP_BUY,746.7204254906045,5.0,0.24528704133089663,857.5,1040.6608438699386,Bearish Gap x1
2024-03-20,INTRADAY_BUY,755.5421626386265,5.0,0.2519048056956783,852.5,1042.8247016743758,Volatility Dip
2024-03-21,INTRADAY_BUY,759.3585772172241,5.0,0.2584893102367651,847.5,1043.7860748472515,Volatility Dip
2024-03-26,INTRADAY_BUY,759.5547885104625,5.0,0.2650721138417629,842.5,1043.8367933691015,Volatility Dip
2024-03-27,INTRADAY_BUY,763.9795081275387,5.0,0.2716167919997604,837.5,1045.009663151157,Volatility Dip
2024-03-28,INTRADAY_BUY,765.559057006291,5.0,0.27814796677228865,832.5,1045.4386951504105,Volatility Dip
2024-04-02,INTRADAY_SELL,751.2498175990243,5.0,0.271492391113076,837.5,1041.4586093032212,Volatility Spike
2024-04-03,INTRADAY_SELL,761.8161195106995,5.0,0.2649291275223667,842.5,1044.3272798744447,Volatility Spike
2024-04-05,INTRADAY_SELL,761.5970234261259,5.0,0.25836397581325554,847.5,1044.269234939915,Volatility Spike
2024-04-08,INTRADAY_BUY,770.1701836963692,5.0,0.2648560474434541,842.5,1046.4842307126194,Volatility Dip
2024-04-09,INTRADAY_BUY,762.9297176113625,5.0,0.2714097310719466,837.5,1044.566549483696,Volatility Dip
2024-04-10,GAP_BUY,739.67101526229,10.0,0.2849292550138898,827.5,1038.2539113340517,Bearish Gap x2
2024-04-15,GAP_SELL,748.3252275154572,10.0,0.27156608131306276,837.5,1040.7197495840787,Bullish Gap x1
2024-04-17,GAP_SELL,747.4686757666274,10.0,0.25818759426175764,847.5,1040.4871391822073,Bullish Gap x1
2024-04-18,INTRADAY_BUY,735.2434947929605,5.0,0.264988062454146,842.5,1037.3307491172015,Volatility Dip
2024-04-19,INTRADAY_BUY,734.9885111511946,5.0,0.2717908898781674,837.5,1037.2631814960125,Volatility Dip
2024-04-22,INTRADAY_BUY,715.9358197388564,5.0,0.27877475611609887,832.5,1032.084833542479,Volatility Dip
2024-04-23,GAP_SELL,729.7467489510622,10.0,0.2650713720114434,842.5,1035.9349719653483,Bullish Gap x1
2024-04-26,INTRADAY_SELL,719.8195560492171,5.0,0.2581251867376744,847.5,1033.303557322634,Volatility Spike
2024-04-29,INTRADAY_BUY,721.8322080554511,5.0,0.26505200427809633,842.5,1033.8230734975812,Volatility Dip
2024-04-30,GAP_SELL,763.0246163677369,30.0,0.2257347930683054,872.5,1044.7412038817943,Bullish Gap x3
2024-05-01,GAP_BUY,762.7882570669242,10.0,0.23884459111167333,862.5,1044.6878493639356,Bearish Gap x2
2024-05-02,INTRADAY_BUY,762.6353594449298,5.0,0.24540080429806316,857.5,1044.6513305939284,Volatility Dip
2024-05-03,GAP_BUY,731.5189227510823,20.0,0.2727411770184084,837.5,1037.0153320023683,Bearish Gap x4
2024-05-06,INTRADAY_SELL,734.3059267527551,5.0,0.2659320259305083,842.5,1037.7754627541397,Volatility Spike
2024-05-07,INTRADAY_SELL,765.0099403455139,10.0,0.2528603003585719,852.5,1045.9406432930598,Volatility Spike
2024-05-10,INTRADAY_BUY,759.3781851988176,5.0,0.25944463488049513,847.5,1044.5165959951203,Volatility Dip
2024-05-13,INTRADAY_BUY,749.0572122600819,5.0,0.2661196924303902,842.5,1041.8388749394185,Volatility Dip
2024-05-14,GAP_BUY,739.9072575495355,10.0,0.2796348997728868,832.5,1039.403891806096,Bearish Gap x2
2024-05-15,INTRADAY_SELL,761.5797370125065,10.0,0.2665042983217143,842.5,1045.4642734285537,Volatility Spike
2024-05-16,INTRADAY_BUY,771.1782871702615,5.0,0.2729878833541027,837.5,1048.022328303252,Volatility Dip
2024-05-17,INTRADAY_BUY,759.5621220002863,5.0,0.27957062340284633,832.5,1044.8512559608089,Volatility Dip
2024-05-20,GAP_BUY,756.3365490967127,5.0,0.2861814370756372,827.5,1043.9494805333254,Bearish Gap x1
2024-05-21,GAP_SELL,781.5446145806172,10.0,0.27338626222133144,837.5,1051.1635609394061,Bullish Gap x1
2024-05-22,INTRADAY_BUY,787.1873071608213,5.0,0.2797379906530737,832.5,1052.706195572772,Volatility Dip
2024-05-23,INTRADAY_BUY,796.0321845561708,5.0,0.2860191437232699,827.5,1055.1804438029199,Volatility Dip
2024-05-24,INTRADAY_BUY,794.0666004584788,5.0,0.29231584477720307,822.5,1054.618249122382,Volatility Dip
2024-05-29,INTRADAY_SELL,800.2989947584367,10.0,0.2798205148249039,832.5,1056.4400767271588,Volatility Spike
2024-05-31,INTRADAY_BUY,804.6803788338051,5.0,0.28603416204623455,827.5,1057.666077874774,Volatility Dip
2024-06-03,INTRADAY_BUY,809.6236306063189,5.0,0.2922098711176898,822.5,1059.0800167533084,Volatility Dip
2024-06-04,INTRADAY_BUY,819.6183092994521,5.0,0.2983102716861857,817.5,1062.0005605260917,Volatility Dip
2024-06-05,INTRADAY_BUY,816.1687472048621,5.0,0.3044364557836821,812.5,1060.9715207204563,Volatility Dip
2024-06-06,INTRADAY_BUY,820.4830577394415,5.0,0.31053042683261,807.5,1062.2849541287537,Volatility Dip
2024-06-07,INTRADAY_SELL,834.9421144907598,10.0,0.29855354864375605,817.5,1066.7749311933376,Volatility Spike
2024-06-10,INTRADAY_BUY,839.2536357132512,5.0,0.3045112231621997,812.5,1068.0621511543652,Volatility Dip
2024-06-11,GAP_SELL,869.9893176898527,10.0,0.29301682915451954,822.5,1077.4215112677846,Bullish Gap x1
2024-06-12,INTRADAY_BUY,856.9629757773306,5.0,0.29885138693744434,817.5,1073.6045738650948,Volatility Dip
2024-06-13,INTRADAY_BUY,854.0441948860906,5.0,0.3047058849012961,812.5,1072.7322921475811,Volatility Dip
2024-06-14,INTRADAY_BUY,867.114754110637,5.0,0.3104721343813067,807.5,1076.7149684622514,Volatility Dip
2024-06-17,INTRADAY_SELL,875.0467020567899,10.0,0.29904417290622765,817.5,1079.1776172708949,Volatility Spike
2024-06-20,INTRADAY_BUY,877.6008375102781,5.0,0.3047415238957559,812.5,1079.9414165950739,Volatility Dip
2024-06-21,INTRADAY_BUY,870.3874347959166,5.0,0.3104860921191843,807.5,1077.7431932594254,Volatility Dip
2024-06-24,INTRADAY_BUY,874.6328219734345,5.0,0.31620277673744335,802.5,1079.061326933706,Volatility Dip
2024-06-25,INTRADAY_SELL,888.7705409515022,10.0,0.3049512786969095,812.5,1083.5317129313046,Volatility Spike
2024-06-26,INTRADAY_BUY,888.4110931542245,5.0,0.3105793038741368,807.5,1083.4220988659,Volatility Dip
2024-06-27,INTRADAY_BUY,887.9493328448524,5.0,0.3162102557934099,802.5,1083.2786856704583,Volatility Dip
2024-06-28,INTRADAY_BUY,895.595082505068,5.0,0.3217931359338574,797.5,1085.6963501262476,Volatility Dip
2024-07-01,INTRADAY_BUY,896.0472820745555,5.0,0.3273731986158443,792.5,1085.841864843781,Volatility Dip
2024-07-02,GAP_BUY,890.2758611923267,15.0,0.34422190883461945,777.5,1083.9524563290074,Bearish Gap x3
2024-07-03,INTRADAY_BUY,895.2904353570108,5.0,0.34980668870329545,772.5,1085.6785826199678,Volatility Dip
2024-07-05,INTRADAY_SELL,895.4079749629769,10.0,0.33863859518657924,782.5,1085.7196987603222,Volatility Spike
2024-07-08,INTRADAY_BUY,902.0616330885747,5.0,0.344181453697123,777.5,1087.9728842008265,Volatility Dip
2024-07-09,GAP_SELL,916.2531482993198,10.0,0.33326743935669617,787.5,1092.8573405362256,Bullish Gap x1
2024-07-10,INTRADAY_BUY,920.4195152647849,5.0,0.3386997448620413,782.5,1094.2458549862263,Volatility Dip
2024-07-11,GAP_BUY,921.223772033241,5.0,0.3441273077971189,777.5,1094.518256548506,Bearish Gap x1
