Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-08-24,CORE_BUY,78.9317398071289,100.0,1.2669174687439015,900.0,1000.0,Macro SMA Cross
2023-08-25,GAP_SELL,79.60824436378236,10.0,1.1413023383020917,910.0,1000.8570754405091,Bullish Gap x1
2023-08-28,INTRADAY_SELL,80.7985437373108,5.0,1.0794200348752403,915.0,1002.2155668987966,Volatility Spike
2023-08-29,INTRADAY_BUY,80.36658971841585,5.0,1.141634943054357,910.0,1001.7493070766566,Volatility Dip
2023-08-30,INTRADAY_BUY,81.66868008776856,5.0,1.202857923450594,905.0,1003.2358189413242,Volatility Dip
2023-08-31,INTRADAY_BUY,81.52610794710179,5.0,1.2641879700565752,900.0,1003.0643249122598,Volatility Dip
2023-09-06,INTRADAY_SELL,80.86573267821022,5.0,1.2023570828018149,905.0,1002.2294864416042,Volatility Spike
2023-09-07,INTRADAY_SELL,80.42409191433941,5.0,1.1401866574854114,910.0,1001.6984765411102,Volatility Spike
2023-09-08,INTRADAY_BUY,78.89346278405924,5.0,1.2035632646662318,905.0,999.9532736292063,Volatility Dip
2023-09-11,INTRADAY_BUY,79.0265229324066,5.0,1.2668331620939173,900.0,1000.1134199357481,Volatility Dip
2023-09-12,GAP_BUY,78.5410871705468,10.0,1.3941550564074714,890.0,999.4984538145578,Bearish Gap x2
2023-09-14,GAP_SELL,78.04561393944006,10.0,1.2660248579858207,900.0,998.8076873040958,Bullish Gap x1
2023-09-18,INTRADAY_SELL,77.8511396227323,5.0,1.2017997223714922,905.0,998.561477984904,Volatility Spike
2023-09-19,GAP_BUY,77.13091308281896,10.0,1.3314494257175753,895.0,997.6959099291915,Bearish Gap x2
2023-09-20,INTRADAY_BUY,78.32323689662381,5.0,1.3952874410769167,890.0,999.2834287863514,Volatility Dip
2023-09-21,INTRADAY_BUY,77.486860748591,5.0,1.4598145099463433,885.0,998.1164436509849,Volatility Dip
2023-09-25,INTRADAY_SELL,77.16950752820149,5.0,1.3950220788404073,890.0,997.6531668150822,Volatility Spike
