Date,Price,Cash,Inventory,Avg_Cost,Total_Value
2024-08-19,25.74838638305664,300.0,0,0.0,300.0
2024-08-20,25.679676055908203,300.0,0,0.0,300.0
2024-08-21,25.788990020751953,300.0,0,0.0,300.0
2024-08-22,25.71715545654297,300.0,0,0.0,300.0
2024-08-23,26.085702896118164,300.0,0,0.0,300.0
2024-08-26,26.11693572998047,300.0,0,0.0,300.0
2024-08-27,26.073209762573242,300.0,0,0.0,300.0
2024-08-28,26.079452514648438,300.0,0,0.0,300.0
2024-08-29,26.191892623901367,300.0,0,0.0,300.0
2024-08-30,26.401151657104492,300.0,0,0.0,300.0
2024-09-03,26.166906356811523,300.0,0,0.0,300.0
2024-09-04,26.079452514648438,300.0,0,0.0,300.0
2024-09-05,25.83271598815918,300.0,0,0.0,300.0
2024-09-06,25.6109619140625,300.0,0,0.0,300.0
2024-09-09,25.920166015625,300.0,0,0.0,300.0
2024-09-10,25.942031860351562,300.0,0,0.0,300.0
2024-09-11,25.782745361328125,300.0,0,0.0,300.0
2024-09-12,25.807729721069336,300.0,0,0.0,300.0
2024-09-13,26.035730361938477,300.0,0,0.0,300.0
2024-09-16,26.282466888427734,300.0,0,0.0,300.0
2024-09-17,26.263731002807617,300.0,0,0.0,300.0
2024-09-18,26.279346466064453,300.0,0,0.0,300.0
2024-09-19,26.507347106933594,300.0,0,0.0,300.0
2024-09-20,26.385536193847656,300.0,0,0.0,300.0
2024-09-23,26.526084899902344,300.0,0,0.0,300.0
2024-09-24,26.566686630249023,300.0,0,0.0,300.0
2024-09-25,26.272045135498047,300.0,0,0.0,300.0
2024-09-26,26.388641357421875,300.0,0,0.0,300.0
2024-09-27,26.552505493164062,300.0,0,0.0,300.0
2024-09-30,26.637590408325195,300.0,0,0.0,300.0
2024-10-01,26.621835708618164,300.0,0,0.0,300.0
2024-10-02,26.640743255615234,300.0,0,0.0,300.0
2024-10-03,26.571413040161133,300.0,0,0.0,300.0
2024-10-04,26.675405502319336,300.0,0,0.0,300.0
2024-10-07,26.56511116027832,300.0,0,0.0,300.0
2024-10-08,26.520994186401367,300.0,0,0.0,300.0
2024-10-09,26.769947052001953,300.0,0,0.0,300.0
2024-10-10,26.665952682495117,300.0,0,0.0,300.0
2024-10-11,26.981081008911133,300.0,0,0.0,300.0
2024-10-14,27.122886657714844,300.0,0,0.0,300.0
2024-10-15,27.00943946838379,300.0,0,0.0,300.0
2024-10-16,27.226877212524414,300.0,0,0.0,300.0
2024-10-17,27.236330032348633,300.0,0,0.0,300.0
2024-10-18,27.236330032348633,300.0,0,0.0,300.0
2024-10-21,26.914901733398438,300.0,0,0.0,300.0
2024-10-22,26.782548904418945,300.0,0,0.0,300.0
2024-10-23,26.735280990600586,300.0,0,0.0,300.0
2024-10-24,26.782548904418945,300.0,0,0.0,300.0
2024-10-25,26.612380981445312,300.0,0,0.0,300.0
2024-10-28,26.773096084594727,300.0,0,0.0,300.0
2024-10-29,26.555660247802734,300.0,0,0.0,300.0
2024-10-30,26.640743255615234,300.0,0,0.0,300.0
2024-10-31,26.688011169433594,300.0,0,0.0,300.0
2024-11-01,26.56511116027832,300.0,0,0.0,300.0
2024-11-04,26.593475341796875,300.0,0,0.0,300.0
2024-11-05,26.829818725585938,300.0,0,0.0,300.0
2024-11-06,27.453767776489258,300.0,0,0.0,300.0
2024-11-07,27.330869674682617,300.0,0,0.0,300.0
2024-11-08,27.4915828704834,300.0,0,0.0,300.0
2024-11-11,27.56721305847168,300.0,0,0.0,300.0
2024-11-12,27.330869674682617,300.0,0,0.0,300.0
2024-11-13,27.42540740966797,300.0,0,0.0,300.0
2024-11-14,27.302505493164062,300.0,0,0.0,300.0
2024-11-15,27.066164016723633,300.0,0,0.0,300.0
2024-11-18,27.217424392700195,300.0,0,0.0,300.0
2024-11-19,27.075613021850586,300.0,0,0.0,300.0
2024-11-20,27.141794204711914,300.0,0,0.0,300.0
2024-11-21,27.39704704284668,300.0,0,0.0,300.0
2024-11-22,27.74683380126953,300.0,0,0.0,300.0
2024-11-25,27.898096084594727,300.0,0,0.0,300.0
2024-11-26,27.841373443603516,300.0,0,0.0,300.0
2024-11-27,27.83191680908203,300.0,0,0.0,300.0
2024-11-29,27.917001724243164,300.0,0,0.0,300.0
2024-12-02,27.737380981445312,300.0,0,0.0,300.0
2024-12-03,27.586118698120117,300.0,0,0.0,300.0
2024-12-04,27.359230041503906,300.0,0,0.0,300.0
2024-12-05,27.368684768676758,300.0,0,0.0,300.0
2024-12-06,27.245784759521484,300.0,0,0.0,300.0
2024-12-09,27.217424392700195,300.0,0,0.0,300.0
2024-12-10,27.11343002319336,300.0,0,0.0,300.0
2024-12-11,26.955989837646484,300.0,0,0.0,300.0
2024-12-12,26.908281326293945,300.0,0,0.0,300.0
2024-12-13,26.841487884521484,300.0,0,0.0,300.0
2024-12-16,26.593399047851562,300.0,0,0.0,300.0
2024-12-17,26.536144256591797,300.0,0,0.0,300.0
2024-12-18,25.839584350585938,300.0,0,0.0,300.0
2024-12-19,25.696455001831055,300.0,0,0.0,300.0
2024-12-20,26.03996467590332,300.0,0,0.0,300.0
2024-12-23,26.116300582885742,221.65109825134277,3,26.116300582885742,300.0
2024-12-24,26.316680908203125,221.65109825134277,3,26.116300582885742,300.60114097595215
2024-12-26,26.326223373413086,221.65109825134277,3,26.116300582885742,300.62976837158203
2024-12-27,26.21171760559082,221.65109825134277,3,26.116300582885742,300.28625106811523
2024-12-30,25.982711791992188,221.65109825134277,3,26.116300582885742,299.59923362731934
2024-12-31,26.068588256835938,221.65109825134277,3,26.116300582885742,299.8568630218506
2025-01-02,26.011337280273438,221.65109825134277,3,26.116300582885742,299.6851100921631
2025-01-03,26.183094024658203,221.65109825134277,3,26.116300582885742,300.2003803253174
2025-01-06,26.02088165283203,221.65109825134277,3,26.116300582885742,299.71374320983887
2025-01-07,26.011337280273438,221.65109825134277,3,26.116300582885742,299.6851100921631
2025-01-08,26.068588256835938,221.65109825134277,3,26.116300582885742,299.8568630218506
2025-01-10,25.772789001464844,221.65109825134277,3,26.116300582885742,298.9694652557373
2025-01-13,26.04950523376465,221.65109825134277,3,26.116300582885742,299.7996139526367
2025-01-14,26.259428024291992,221.65109825134277,3,26.116300582885742,300.42938232421875
2025-01-15,26.545686721801758,221.65109825134277,3,26.116300582885742,301.28815841674805
2025-01-16,26.55522918701172,221.65109825134277,3,26.116300582885742,301.31678581237793
2025-01-17,26.70789909362793,221.65109825134277,3,26.116300582885742,301.77479553222656
2025-01-21,26.927366256713867,221.65109825134277,3,26.116300582885742,302.4331970214844
2025-01-22,26.64110565185547,221.65109825134277,3,26.116300582885742,301.5744152069092
2025-01-23,26.803319931030273,221.65109825134277,3,26.116300582885742,302.0610580444336
2025-01-24,26.78423500061035,221.65109825134277,3,26.116300582885742,302.0038032531738
2025-01-27,27.14682960510254,221.65109825134277,3,26.116300582885742,303.0915870666504
2025-01-28,26.78423500061035,221.65109825134277,3,26.116300582885742,302.0038032531738
2025-01-29,26.72698211669922,221.65109825134277,3,26.116300582885742,301.83204460144043
2025-01-30,26.6983585357666,221.65109825134277,3,26.116300582885742,301.7461738586426
2025-01-31,26.55522918701172,221.65109825134277,3,26.116300582885742,301.31678581237793
2025-02-03,26.450267791748047,221.65109825134277,3,26.116300582885742,301.0019016265869
2025-02-04,26.488433837890625,221.65109825134277,3,26.116300582885742,301.11639976501465
2025-02-05,26.66973304748535,221.65109825134277,3,26.116300582885742,301.6602973937988
2025-02-06,26.47889518737793,221.65109825134277,3,26.116300582885742,301.08778381347656
2025-02-07,26.297595977783203,221.65109825134277,3,26.116300582885742,300.5438861846924
2025-02-10,26.412099838256836,221.65109825134277,3,26.116300582885742,300.8873977661133
2025-02-11,26.593399047851562,221.65109825134277,3,26.116300582885742,301.43129539489746
2025-02-12,26.383472442626953,221.65109825134277,3,26.116300582885742,300.80151557922363
2025-02-13,26.574312210083008,221.65109825134277,3,26.116300582885742,301.3740348815918
2025-02-14,26.517061233520508,221.65109825134277,3,26.116300582885742,301.2022819519043
2025-02-18,26.70789909362793,221.65109825134277,3,26.116300582885742,301.77479553222656
2025-02-19,26.889196395874023,221.65109825134277,3,26.116300582885742,302.31868743896484
2025-02-20,27.022783279418945,221.65109825134277,3,26.116300582885742,302.7194480895996
2025-02-21,26.91781997680664,221.65109825134277,3,26.116300582885742,302.4045581817627
2025-02-24,26.965530395507812,221.65109825134277,3,26.116300582885742,302.5476894378662
2025-02-25,27.14682960510254,221.65109825134277,3,26.116300582885742,303.0915870666504
2025-02-26,26.860570907592773,221.65109825134277,3,26.116300582885742,302.2328109741211
2025-02-27,26.879653930664062,221.65109825134277,3,26.116300582885742,302.29006004333496
2025-02-28,27.232707977294922,221.65109825134277,3,26.116300582885742,303.34922218322754
2025-03-03,27.099119186401367,221.65109825134277,3,26.116300582885742,302.9484558105469
2025-03-04,26.64110565185547,221.65109825134277,3,26.116300582885742,301.5744152069092
2025-03-05,26.76515007019043,221.65109825134277,3,26.116300582885742,301.94654846191406
2025-03-06,26.78423500061035,221.65109825134277,3,26.116300582885742,302.0038032531738
2025-03-07,27.156370162963867,221.65109825134277,3,26.116300582885742,303.1202087402344
2025-03-10,27.080036163330078,221.65109825134277,3,26.116300582885742,302.891206741333
2025-03-11,26.46935272216797,221.65109825134277,3,26.116300582885742,301.0591564178467
2025-03-12,26.183094024658203,221.65109825134277,3,26.116300582885742,300.2003803253174
2025-03-13,26.03996467590332,221.65109825134277,3,26.116300582885742,299.77099227905273
2025-03-14,26.373931884765625,221.65109825134277,3,26.116300582885742,300.77289390563965
2025-03-17,26.67927360534668,221.65109825134277,3,26.116300582885742,301.6889190673828
2025-03-18,26.64110565185547,221.65109825134277,3,26.116300582885742,301.5744152069092
2025-03-19,26.746068954467773,221.65109825134277,3,26.116300582885742,301.8893051147461
2025-03-20,26.66973304748535,221.65109825134277,3,26.116300582885742,301.6602973937988
2025-03-21,26.488433837890625,221.65109825134277,3,26.116300582885742,301.11639976501465
2025-03-24,26.803319931030273,221.65109825134277,3,26.116300582885742,302.0610580444336
2025-03-25,26.56477165222168,221.65109825134277,3,26.116300582885742,301.3454132080078
2025-03-26,26.7659969329834,221.65109825134277,3,26.116300582885742,301.94908905029297
2025-03-27,26.717857360839844,141.49752616882324,6,26.417078971862793,301.8046703338623
2025-03-28,26.554180145263672,141.49752616882324,6,26.417078971862793,300.8226070404053
2025-03-31,26.920045852661133,141.49752616882324,6,26.417078971862793,303.01780128479004
2025-04-01,26.83339500427246,141.49752616882324,6,26.417078971862793,302.497896194458
2025-04-02,26.83339500427246,141.49752616882324,6,26.417078971862793,302.497896194458
2025-04-03,25.735794067382812,141.49752616882324,6,26.417078971862793,295.9122905731201
2025-04-04,24.3397274017334,141.49752616882324,6,26.417078971862793,287.53589057922363
2025-04-07,24.012372970581055,141.49752616882324,6,26.417078971862793,285.57176399230957
2025-04-08,23.415433883666992,141.49752616882324,6,26.417078971862793,281.9901294708252
2025-04-09,24.90778350830078,141.49752616882324,6,26.417078971862793,290.94422721862793
2025-04-10,24.041255950927734,141.49752616882324,6,26.417078971862793,285.74506187438965
2025-04-11,24.35898208618164,141.49752616882324,6,26.417078971862793,287.6514186859131
2025-04-14,24.647825241088867,141.49752616882324,6,26.417078971862793,289.38447761535645
2025-04-15,24.484149932861328,141.49752616882324,6,26.417078971862793,288.4024257659912
2025-04-16,24.19530487060547,141.49752616882324,6,26.417078971862793,286.66935539245605
2025-04-17,24.474519729614258,141.49752616882324,6,26.417078971862793,288.3446445465088
2025-04-21,24.099027633666992,141.49752616882324,6,26.417078971862793,286.0916919708252
2025-04-22,24.493776321411133,141.49752616882324,6,26.417078971862793,288.46018409729004
2025-04-23,24.474519729614258,141.49752616882324,6,26.417078971862793,288.3446445465088
2025-04-24,24.753732681274414,141.49752616882324,6,26.417078971862793,290.0199222564697
2025-04-25,24.715221405029297,141.49752616882324,6,26.417078971862793,289.788854598999
2025-04-28,24.830759048461914,141.49752616882324,6,26.417078971862793,290.4820804595947
2025-04-29,24.927038192749023,141.49752616882324,6,26.417078971862793,291.0597553253174
2025-04-30,24.859643936157227,141.49752616882324,6,26.417078971862793,290.6553897857666
2025-05-01,24.753732681274414,141.49752616882324,6,26.417078971862793,290.0199222564697
2025-05-02,25.090717315673828,141.49752616882324,6,26.417078971862793,292.0418300628662
2025-05-05,24.84038543701172,141.49752616882324,6,26.417078971862793,290.53983879089355
2025-05-06,24.599685668945312,141.49752616882324,6,26.417078971862793,289.0956401824951
2025-05-07,24.686336517333984,141.49752616882324,6,26.417078971862793,289.61554527282715
2025-05-08,24.821128845214844,141.49752616882324,6,26.417078971862793,290.4242992401123
2025-05-09,24.77298927307129,141.49752616882324,6,26.417078971862793,290.135461807251
2025-05-12,25.44695472717285,141.49752616882324,6,26.417078971862793,294.17925453186035
2025-05-13,25.3314151763916,141.49752616882324,6,26.417078971862793,293.48601722717285
2025-05-14,25.03294563293457,141.49752616882324,6,26.417078971862793,291.69519996643066
2025-05-15,25.43732452392578,141.49752616882324,6,26.417078971862793,294.12147331237793
2025-05-16,25.610631942749023,141.49752616882324,6,26.417078971862793,295.1613178253174
