Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-08-21,CORE_BUY,61.614505767822266,100.0,1.6229944353822,900.0,1000.0,Macro SMA Cross
2023-08-22,INTRADAY_BUY,61.605394382093806,5.0,1.70415615912653,895.0,999.9852122716641,Volatility Dip
2023-08-23,INTRADAY_SELL,61.59002406355036,5.0,1.6229741807782043,900.0,999.9590188486505,Volatility Spike
2023-08-24,INTRADAY_SELL,62.65911807923554,5.0,1.5431773347122055,905.0,1001.694130832932,Volatility Spike
2023-08-25,INTRADAY_BUY,61.83256152002262,5.0,1.6240408777562843,900.0,1000.4186074848969,Volatility Dip
2023-09-06,GAP_BUY,63.52454956664852,5.0,1.7027506054774406,895.0,1003.1664652372924,Bearish Gap x1
2023-09-07,INTRADAY_BUY,63.34088331646004,5.0,1.7816885636839799,890.0,1002.8537274185783,Volatility Dip
2023-09-11,GAP_SELL,65.3340405635062,10.0,1.6286289960565994,900.0,1006.4049128912643,Bullish Gap x1
2023-09-12,INTRADAY_BUY,64.8582987030794,5.0,1.7057201331968126,895.0,1005.6301059027353,Volatility Dip
2023-09-13,INTRADAY_BUY,65.48526043924689,5.0,1.782073192900052,890.0,1006.6995271588602,Volatility Dip
2023-09-14,INTRADAY_BUY,65.51250790565061,5.0,1.8583944964166395,885.0,1006.7480841383127,Volatility Dip
2023-09-21,GAP_BUY,63.26866142464628,5.0,1.9374225631942978,880.0,1002.5781321872104,Bearish Gap x1
2023-09-22,INTRADAY_BUY,62.604887102170615,5.0,2.0172885326327545,875.0,1001.292120837977,Volatility Dip
2023-09-25,GAP_BUY,61.44086724490085,5.0,2.0986675922750964,870.0,998.9439569281499,Bearish Gap x1
2023-10-02,INTRADAY_BUY,61.34142216843097,5.0,2.180178581476994,865.0,998.7352547689512,Volatility Dip
2023-10-03,GAP_BUY,60.431333150563304,5.0,2.262917116924203,860.0,996.7510981849587,Bearish Gap x1
2023-10-04,INTRADAY_BUY,59.496213449776064,5.0,2.346956078567044,855.0,994.6349998076743,Volatility Dip
2023-10-06,INTRADAY_SELL,60.2624931924099,5.0,2.2639857310901204,860.0,996.4334247075315,Volatility Spike
2023-10-11,INTRADAY_BUY,60.074563883775696,5.0,2.3472156320124697,855.0,996.00795543433,Volatility Dip
2023-10-12,INTRADAY_BUY,60.203087120515825,5.0,2.430267851410968,850.0,996.3096271846833,Volatility Dip
2023-10-13,INTRADAY_BUY,59.450320254880175,5.0,2.5143716876655686,845.0,994.4802020715216,Volatility Dip
2023-10-17,INTRADAY_SELL,60.938746643146466,5.0,2.432322084163224,850.0,998.2226592413526,Volatility Spike
2023-10-18,GAP_SELL,63.70912384687806,10.0,2.2753586949941225,860.0,1004.9611088954514,Bullish Gap x1
2023-10-19,INTRADAY_BUY,63.08564685402944,5.0,2.3546160260882973,855.0,1003.5424750986444,Volatility Dip
2023-10-20,INTRADAY_BUY,60.625374158221334,5.0,2.437089743890861,850.0,997.7494775805472,Volatility Dip
2023-10-23,INTRADAY_BUY,59.46867734808987,5.0,2.521167618546343,845.0,994.9305036477846,Volatility Dip
2023-10-26,INTRADAY_SELL,60.14978631513048,5.0,2.4380418037046323,850.0,996.6476935201889,Volatility Spike
2023-10-30,INTRADAY_BUY,58.24772096418832,5.0,2.5238820720830994,845.0,992.0103786812138,Volatility Dip
2023-10-31,INTRADAY_SELL,59.792868425901744,5.0,2.4402600594312687,850.0,995.910148658557,Volatility Spike
2023-11-01,INTRADAY_BUY,59.49621824228951,5.0,2.5242990143046398,845.0,995.1862450638652,Volatility Dip
2023-11-02,INTRADAY_SELL,61.521083782411054,10.0,2.3617531132056246,855.0,1000.2976111508933,Volatility Spike
2023-11-06,INTRADAY_BUY,62.34204895991947,5.0,2.4419558027773864,850.0,1002.2365282147073,Volatility Dip
2023-11-08,INTRADAY_BUY,60.96504276941015,5.0,2.523970015724167,845.0,998.8739399573326,Volatility Dip
2023-11-09,INTRADAY_BUY,61.5709216344878,5.0,2.6051771808480257,840.0,1000.4031600459497,Volatility Dip
2023-11-13,GAP_BUY,62.010226737647976,5.0,2.6858090421239718,835.0,1001.5476276761326,Bearish Gap x1
2023-11-14,GAP_SELL,62.988951582960865,10.0,2.527051041733549,845.0,1004.1762957154253,Bullish Gap x1
2023-11-15,INTRADAY_SELL,64.74273118280988,10.0,2.3725935479376257,855.0,1008.6081862801948,Volatility Spike
2023-11-16,INTRADAY_BUY,63.88430296056565,5.0,2.4508600354515675,850.0,1006.5714850187306,Volatility Dip
2023-11-20,GAP_BUY,64.37392100438447,5.0,2.5285312402187814,845.0,1007.7714703149621,Bearish Gap x1
2023-11-21,INTRADAY_BUY,64.03118713624428,5.0,2.6066181885266597,840.0,1006.9048570222886,Volatility Dip
2023-11-29,INTRADAY_SELL,66.35824395564507,10.0,2.4559210120509807,850.0,1012.9706056534737,Volatility Spike
2023-11-30,INTRADAY_BUY,66.01409084471457,5.0,2.5316624171967628,845.0,1012.1253927969768,Volatility Dip
2023-12-01,INTRADAY_SELL,68.3776332241546,10.0,2.3854157641835156,855.0,1018.1090842104569,Volatility Spike
2023-12-04,GAP_BUY,67.55937933068934,5.0,2.459424733027442,850.0,1016.1572084738804,Bearish Gap x1
2023-12-05,INTRADAY_BUY,67.76748766587673,5.0,2.5332064264650413,845.0,1016.6690352605893,Volatility Dip
2023-12-06,INTRADAY_BUY,67.70322031051946,5.0,2.6070581572552105,840.0,1016.5062327829864,Volatility Dip
2023-12-07,INTRADAY_SELL,67.41961101132655,10.0,2.4587333619917078,850.0,1015.7668468460521,Volatility Spike
2023-12-11,INTRADAY_SELL,69.34507329824743,10.0,2.314527010705715,860.0,1020.5010452081613,Volatility Spike
2023-12-13,INTRADAY_BUY,69.09860070084343,5.0,2.3868873761731297,855.0,1019.930577724071,Volatility Dip
2023-12-14,INTRADAY_SELL,73.12086504214994,10.0,2.250127506138283,865.0,1029.5312697039667,Volatility Spike
2023-12-15,GAP_BUY,71.68661860227967,10.0,2.3896235542847357,855.0,1026.3040323390337,Bearish Gap x2
2023-12-18,INTRADAY_BUY,71.60477313401363,5.0,2.459451301530609,850.0,1026.1084524802538,Volatility Dip
2023-12-20,INTRADAY_BUY,70.98971155151784,5.0,2.529884042990214,845.0,1024.595738470663,Volatility Dip
2023-12-29,INTRADAY_BUY,72.08294593514422,5.0,2.599248577626447,840.0,1027.3614946930477,Volatility Dip
2024-01-02,INTRADAY_BUY,71.92550147335935,5.0,2.66876495078447,835.0,1026.9522573996983,Volatility Dip
2024-01-03,INTRADAY_BUY,72.87944961132551,5.0,2.7373713964514663,830.0,1029.4981207551684,Volatility Dip
2024-01-05,INTRADAY_SELL,73.13507608895976,10.0,2.600638100545187,840.0,1030.19786536322,Volatility Spike
2024-01-10,INTRADAY_BUY,71.3142357787673,5.0,2.670750329126183,835.0,1025.462518677525,Volatility Dip
2024-01-11,INTRADAY_BUY,70.71223198798671,25.0,3.024295950543525,810.0,1023.8547168551626,Volatility Dip
2024-01-12,INTRADAY_BUY,71.51799319766441,5.0,3.0942084267812295,805.0,1026.291577218696,Volatility Dip
