Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2025-01-02,CORE_BUY,123.5672836303711,100.0,0.8092757003474454,200.0,300.0,Macro SMA Cross
2025-01-03,INTRADAY_BUY,123.64764406561129,5.0,0.8497131873516204,195.0,300.06503374750923,Volatility Dip
2025-01-06,INTRADAY_BUY,124.36214138762803,5.0,0.8899183490206797,190.0,300.6721515443543,Volatility Dip
2025-01-07,INTRADAY_BUY,124.21730738995855,5.0,0.9301703888133582,185.0,300.5432611122662,Volatility Dip
2025-01-13,INTRADAY_SELL,123.12939961174149,5.0,0.8895627027873865,190.0,299.53132151120894,Volatility Spike
2025-01-15,GAP_SELL,126.00878862846596,10.0,0.8102031588314107,200.0,302.09271858730267,Bullish Gap x1
2025-01-22,INTRADAY_BUY,128.37882148723554,5.0,0.8491503928227832,195.0,304.012926696012,Volatility Dip
2025-01-27,GAP_BUY,127.88836342590623,10.0,0.9273435898589907,185.0,303.59645404057113,Bearish Gap x2
2025-01-28,INTRADAY_BUY,128.1277547147088,5.0,0.9663671410882546,180.0,303.8184520177103,Volatility Dip
2025-02-03,INTRADAY_SELL,127.94494914166344,10.0,0.8882085262536215,190.0,303.6417947187114,Volatility Spike
2025-02-05,INTRADAY_BUY,128.20501145217673,5.0,0.9272085617699016,185.0,303.87278428026656,Volatility Dip
2025-02-06,INTRADAY_BUY,129.276762433884,5.0,0.9658852729271535,180.0,304.8665209665908,Volatility Dip
2025-02-07,INTRADAY_BUY,128.93881442293969,5.0,1.0046633555578748,175.0,304.5401019598047,Volatility Dip
2025-02-14,INTRADAY_BUY,129.5374770048386,5.0,1.0432622237434366,170.0,305.1415563181822,Volatility Dip
2025-02-20,INTRADAY_BUY,129.97195903580703,5.0,1.0817320601380893,165.0,305.5948350079869,Volatility Dip
2025-02-21,INTRADAY_BUY,129.9429946874993,5.0,1.1202104714754957,160.0,305.5635033438214,Volatility Dip
2025-02-28,INTRADAY_BUY,127.95396296454322,7.5,1.1788253031402116,152.5,303.3353691796691,Volatility Dip
2025-03-03,INTRADAY_BUY,129.74021354545837,5.0,1.2173638554006339,147.5,305.44104656220077,Volatility Dip
2025-03-04,GAP_BUY,128.0433921940406,5.0,1.2564131176415378,142.5,303.3753975799127,Bearish Gap x1
2025-03-07,INTRADAY_SELL,126.79979420799249,5.0,1.2169808769882258,147.5,301.81292475716924,Volatility Spike
2025-03-11,INTRADAY_BUY,125.03802170247079,5.0,1.2569687137431733,142.5,299.6688813083457,Volatility Dip
2025-03-12,INTRADAY_BUY,123.90833430824814,5.0,1.2973211244822398,137.5,298.24889959749777,Volatility Dip
2025-03-13,INTRADAY_BUY,122.79796303598457,5.0,1.338038412264406,132.5,296.808391489972,Volatility Dip
2025-03-14,INTRADAY_SELL,124.26476526865214,5.0,1.2978017451030404,137.5,298.7710292204764,Volatility Spike
2025-03-17,INTRADAY_SELL,125.31205192287332,5.0,1.257901353055535,142.5,300.1301996679478,Volatility Spike
2025-03-18,INTRADAY_BUY,125.12491527017686,5.0,1.2978614200749907,137.5,299.8948002193146,Volatility Dip
2025-03-19,INTRADAY_SELL,126.56488366424163,5.0,1.2583559912763969,142.5,301.7636796440986,Volatility Spike
2025-03-20,GAP_BUY,125.38872216485736,5.0,1.29823198581302,137.5,300.2836497746398,Bearish Gap x1
2025-03-21,GAP_BUY,124.97675627146643,5.0,1.3382394251895016,132.5,299.7488224747757,Bearish Gap x1
2025-03-25,INTRADAY_BUY,126.29965732751349,5.0,1.3778278144678213,127.5,301.51918082360265,Volatility Dip
2025-03-27,INTRADAY_BUY,125.53184663574552,5.0,1.4176583446002142,122.5,300.46126989623895,Volatility Dip
2025-03-28,INTRADAY_BUY,125.1819649476072,5.0,1.4576002004585455,117.5,299.9652572014269,Volatility Dip
2025-03-31,GAP_BUY,123.6406816379324,5.0,1.498039964569859,112.5,297.7186823402815,Bearish Gap x1
2025-04-02,INTRADAY_SELL,126.03961338533477,5.0,1.4583698968371555,117.5,301.31237797016564,Volatility Spike
2025-04-07,GAP_BUY,111.1966472401748,25.0,1.6831968194151559,92.5,279.6658429642913,Bearish Gap x5
2025-04-08,GAP_SELL,116.89203940371783,30.0,1.4265497444472275,122.5,289.2523089392889,Bullish Gap x3
2025-04-09,GAP_BUY,110.61149785734979,15.0,1.5621595164019004,107.5,280.2928040013274,Bearish Gap x3
2025-04-10,GAP_BUY,117.75024737616847,20.0,1.732010539611282,87.5,291.4446694973595,Bearish Gap x4
2025-04-11,INTRADAY_BUY,115.63781424246342,5.0,1.7752489909150766,82.5,287.78591304555823,Volatility Dip
2025-04-14,GAP_SELL,119.25210514743581,10.0,1.6913930288954826,92.5,294.20217932748403,Bullish Gap x1
2025-04-15,INTRADAY_BUY,119.1172449266463,5.0,1.733368479243407,87.5,293.97407769016536,Volatility Dip
2025-04-16,INTRADAY_BUY,118.13562540259677,5.0,1.7756927144854044,82.5,292.27256934856797,Volatility Dip
2025-04-17,INTRADAY_SELL,118.43369088163766,5.0,1.733474997864574,87.5,292.80184204814043,Volatility Spike
2025-04-21,GAP_BUY,117.1065907623894,5.0,1.776171143038376,82.5,290.5013471717605,Bearish Gap x1
2025-04-22,INTRADAY_SELL,117.74404546316873,5.0,1.733706150602185,87.5,291.63357581627895,Volatility Spike
2025-04-23,GAP_SELL,119.73973129362737,10.0,1.6501916822468328,97.5,295.09350861521466,Bullish Gap x1
2025-04-24,INTRADAY_BUY,118.47579192787468,5.0,1.6923943965620398,92.5,293.0077663869853,Volatility Dip
2025-04-25,INTRADAY_BUY,119.71983927464633,5.0,1.7341585689021781,87.5,295.11318514571946,Volatility Dip
2025-04-28,INTRADAY_BUY,119.98224380465616,5.0,1.775831401826861,82.5,295.56823620995476,Volatility Dip
2025-04-29,INTRADAY_SELL,121.44847348541975,10.0,1.6934919560272355,92.5,298.1720129193453,Volatility Spike
2025-05-01,INTRADAY_BUY,120.66259345910655,5.0,1.7349298188864863,87.5,296.8411314163815,Volatility Dip
2025-05-02,GAP_SELL,122.37288011605227,10.0,1.6532123665349807,97.5,299.8083587363603,Bullish Gap x1
2025-05-05,GAP_BUY,122.20708055790848,5.0,1.6941265261497398,92.5,299.5342568564709,Bearish Gap x1
2025-05-06,GAP_BUY,121.47565888937507,5.0,1.7352870355531371,87.5,298.29513600600774,Bearish Gap x1
2025-05-08,INTRADAY_SELL,123.87213055575724,10.0,1.6545586267081887,97.5,302.4537022197511,Volatility Spike
2025-05-09,INTRADAY_BUY,122.70359583778081,5.0,1.695307228783471,92.5,300.5202930215152,Volatility Dip
2025-05-12,GAP_SELL,125.33760374605163,20.0,1.5357381976049087,112.5,304.9857456690796,Bullish Gap x2
2025-05-14,INTRADAY_BUY,124.64742267198665,5.0,1.5758513414856101,107.5,303.925808230374,Volatility Dip
2025-05-15,INTRADAY_SELL,125.51744415312218,10.0,1.4961811405229397,117.5,305.2968327485427,Volatility Spike
2025-05-19,GAP_BUY,125.86423077089492,10.0,1.575631830673365,107.5,305.81568834584004,Bearish Gap x2
2025-05-21,GAP_BUY,126.03977236050999,5.0,1.6153018483698312,102.5,306.09227726204455,Bearish Gap x1
2025-05-22,INTRADAY_BUY,123.86017369707334,5.0,1.6556699493562594,97.5,302.5715675122909,Volatility Dip
2025-05-30,INTRADAY_BUY,124.91954543871393,5.0,1.6956957113972606,92.5,304.3255374701224,Volatility Dip
2025-06-02,INTRADAY_BUY,125.26943184580323,5.0,1.7356096786463067,87.5,304.9188383500999,Volatility Dip
2025-06-04,INTRADAY_BUY,126.99943218945813,5.0,1.7749799334088712,82.5,307.92144369060884,Volatility Dip
2025-06-05,INTRADAY_BUY,126.57179624057004,5.0,1.814483204662893,77.5,307.16239846252824,Volatility Dip
2025-06-11,INTRADAY_BUY,127.65062129594051,5.0,1.8536526184051745,72.5,309.1199084062674,Volatility Dip
2025-06-13,GAP_BUY,127.95123977825126,5.0,1.8927300045146438,67.5,309.6771506431438,Bearish Gap x1
2025-06-23,INTRADAY_BUY,126.98435700455504,5.0,1.93210493319047,62.5,307.8471026065206,Volatility Dip
2025-06-25,INTRADAY_BUY,128.7160833085285,5.0,1.9709501176575515,57.5,311.19297954136346,Volatility Dip
2025-07-01,INTRADAY_SELL,132.0959178043055,10.0,1.8952475511723814,67.5,317.85446473847816,Volatility Spike
2025-07-07,INTRADAY_BUY,132.65896828088307,5.0,1.9329381804965395,62.5,318.9215847753983,Volatility Dip
2025-07-09,INTRADAY_BUY,132.15022531465192,5.0,1.9707739086467937,57.5,317.93821607191103,Volatility Dip
2025-07-11,GAP_BUY,132.60279049548464,5.0,2.0084805057803603,52.5,318.83011972225813,Bearish Gap x1
2025-07-17,INTRADAY_SELL,132.55214092013682,10.0,1.9330384953338822,62.5,318.728391037546,Volatility Spike
2025-07-18,INTRADAY_BUY,132.43394623238567,5.0,1.9707931658110902,57.5,318.49991615617904,Volatility Dip
2025-07-28,INTRADAY_BUY,133.63735090704677,5.0,2.0082078553874934,52.5,320.8715778647063,Volatility Dip
2025-07-30,INTRADAY_BUY,133.38299586045505,5.0,2.045693893002295,47.5,320.36078006208334,Volatility Dip
2025-08-07,INTRADAY_BUY,132.33609072223078,5.0,2.0834764810530095,42.5,318.2191326142652,Volatility Dip
2025-08-11,INTRADAY_BUY,132.6883331756616,5.0,2.1211587691663185,37.5,318.95302148161676,Volatility Dip
2025-08-14,GAP_BUY,134.41898554256127,5.0,2.158355895597665,32.5,322.62400992604444,Bearish Gap x1
2025-08-15,INTRADAY_BUY,134.77228640397783,5.0,2.195455511055791,27.5,323.3865589232026,Volatility Dip
2025-08-22,INTRADAY_SELL,136.77712597664586,10.0,2.122343871016597,37.5,327.7880950117993,Volatility Spike
2025-08-25,INTRADAY_BUY,135.98547539708395,5.0,2.159112503735641,32.5,326.10794025627933,Volatility Dip
2025-08-28,INTRADAY_BUY,136.37682500251492,5.0,2.1957756244668047,27.5,326.9529080826974,Volatility Dip
2025-08-29,INTRADAY_BUY,136.19094852291542,5.0,2.2324887838524208,22.5,326.5447650396311,Volatility Dip
2025-09-05,GAP_SELL,138.20847434745846,10.0,2.160134320443326,32.5,331.04886881405605,Bullish Gap x1
2025-09-08,INTRADAY_BUY,136.73883519427707,5.0,2.1967003771374323,27.5,327.87425084060163,Volatility Dip
2025-09-12,INTRADAY_BUY,138.86190950205662,5.0,2.2327073715531753,22.5,332.5380089731917,Volatility Dip
2025-09-15,INTRADAY_BUY,138.40209448419782,5.0,2.26883399245898,17.5,331.5113765932675,Volatility Dip
2025-09-22,GAP_BUY,138.22587097624003,5.0,2.3050066710226007,12.5,331.11155470814253,Bearish Gap x1
2025-09-25,INTRADAY_BUY,137.98048387630143,5.0,2.3412436797613325,7.5,330.5459358058012,Volatility Dip
2025-09-29,INTRADAY_BUY,138.9942513945174,5.0,2.37721639050178,2.5,332.91941260057166,Volatility Dip
2025-10-13,GAP_SELL,137.36663101285387,10.0,2.3044185070109613,12.5,329.0502067517663,Bullish Gap x1
2025-10-14,GAP_BUY,136.94196255296916,5.0,2.340930324913863,7.5,328.0715928934642,Bearish Gap x1
